year,mortgage_rate,median_price,median_income
1971,7.54,25200,9028
1972,7.38,27600,9697
1973,8.04,32500,10512
1974,9.19,35900,11197
1975,9.05,39300,11800
1976,8.87,44200,12686
1977,8.85,48800,13572
1978,9.64,55700,15064
1979,11.20,62900,16461
1980,13.74,64600,17710
1981,16.63,68900,19074
1982,16.04,69300,20171
1983,13.24,75300,20885
1984,13.88,79900,22415
1985,12.43,84300,23618
1986,10.19,92000,24897
1987,10.21,104500,26061
1988,10.34,112500,27225
1989,10.32,120000,28906
1990,10.13,122900,29943
1991,9.25,120000,30126
1992,8.39,121500,30636
1993,7.31,126500,31241
1994,8.38,130000,32264
1995,7.93,133900,34076
1996,7.81,140000,35492
1997,7.60,146000,37005
1998,6.94,152500,38885
1999,7.44,161000,40696
2000,8.05,169000,41990
2001,6.97,175200,42228
2002,6.54,187600,42409
2003,5.83,195000,43318
2004,5.84,221000,44334
2005,5.87,240900,46326
2006,6.41,246500,48201
2007,6.34,247900,50233
2008,6.03,232100,50303
2009,5.04,216700,49777
2010,4.69,221800,49276
2011,4.45,227200,50054
2012,3.66,245200,51017
2013,3.98,268900,51939
2014,4.17,288500,53657
2015,3.85,294200,56516
2016,3.65,307800,59039
2017,3.99,323100,61372
2018,4.54,326400,63179
2019,3.94,321500,68703
2020,3.11,336900,67521
2021,2.96,397100,70784
2022,5.34,457800,74580
2023,6.81,428600,80610
